word	sent1	sent2	id	pos1	pos2	grp	scores	tag
машина	"(из зала: ""Папа с работы на машине привез!"")."	Начиная от трактиров, где прислуга щеголяет в шелковых рубашках, где двадцатитысячные машины услаждают слух меломанов, где можно найти кипу журналов, до тех заведений, по краям Москвы, в которых деревянные лавки заменяют красные диваны, а половые ходят в опорках, -- везде, если найдете какой недостаток, то уж наверно не в чае, и если возмутит что вашу душу или аппетит, то, конечно, не он.	training.scd.0	(28, 34)	(86, 92)	COMPARE	1.2223342e-05	F
машина	-- Есть так держать! -- в тон штурману отвечал летчик, поворачивая нос машины.	"-- Что это такое, скажите вы мне, -- говорила она с настойчивостью и начала затем читать текст старинного перевода книги Сен-Мартена: ""Мне могут сделать возражение, что человек и скоты производят действия внешние, из чего следует, что все сии существа имеют нечто в себе и не суть простые машины, и когда спросят у меня: какая же разница между их началами действий и началом, находящимся в человеке, то ответствую: сию разность легко тот усмотрит, кто обратится к ней внимательно."	training.scd.1	(71, 77)	(289, 295)	COMPARE	2.2796329e-05	F
машина	-- С красноармейцем, который у аварийной машины.	У меня было много, я мог купить себе пять машин, так что я знаю, что говорю.	training.scd.2	(41, 47)	(42, 47)	LATER	0.9999961500000001	T
машина	.. ничего...-- говорит Шолохов и садится в седло: унизительно верховому ехать в машине, а лошадь вести в поводу.	Не допускается установка машины на дно ванны.	training.scd.3	(80, 86)	(25, 31)	LATER	0.008301500685	F
машина	10-го числа в первой рас пущена машина с посажирами по новоторской железной дороги до Осташевской станции.	Просим товарищей обратить серьезное внимание на наших господ мастеров и метранпажей которые всеми силами стараются сорвать нашу забастовку и которые за малочисленностью штрейкбрехеров заменяют их как-то: метранпажами и помощники фактора (которых два) и кладовщик набирают строки, а мастера машинные накладывают на машинах.	training.scd.4	(32, 38)	(290, 298)	EARLIER	0.8087398699999999	T
машина	10-го числа в первой рас пущена машина с посажирами по новоторской железной дороги до Осташевской станции.	Просим товарищей обратить серьезное внимание на наших господ мастеров и метранпажей которые всеми силами стараются сорвать нашу забастовку и которые за малочисленностью штрейкбрехеров заменяют их как-то: метранпажами и помощники фактора (которых два) и кладовщик набирают строки, а мастера машинные накладывают на машинах.	training.scd.5	(32, 38)	(314, 321)	EARLIER	0.99999115	T
машина	Машина заработала на полный ход.	И говорят и движутся они размеренно и механично, в ритме молотов и работающих машин; и когда кто-нибудь вдруг выступает отдельно, то кажется, что это откололась частица черной машины, странного сооружения, похожего на неведомое чудовище.	training.scd.6	(0, 6)	(78, 83)	COMPARE	0.9999938500000001	T
машина	Машина заработала на полный ход.	И говорят и движутся они размеренно и механично, в ритме молотов и работающих машин; и когда кто-нибудь вдруг выступает отдельно, то кажется, что это откололась частица черной машины, странного сооружения, похожего на неведомое чудовище.	training.scd.7	(0, 6)	(176, 182)	COMPARE	0.99998637	T
машина	Машина опоздала почти на полчаса.	Но прииск остался в том самом виде, как был, -- как будто хозяева вчера только уехали и в своем поспешном отъезде оставили на столах скатерти, термометр на веранде, кучи графита на горах и незапертую шахту с машинами.	training.scd.8	(0, 6)	(208, 216)	COMPARE	0.994566795	T
машина	Машины собираются, обслуживаются и даже чинятся собственными усилиями общины, при некоторой временной помощи английских техников.	И народ, и разночинцы, и купцы, и чиновники, и интеллигенты -- все захвачены огромной машиной государственной и социальной жизни.	training.scd.9	(0, 6)	(86, 93)	EARLIER	8.25612e-06	F
машина	Armes Kind! Und du auch hier!.. Noch ein neuer Tod! -- с крушащею болью в сердце прошептал старик, не сводя изумленных глаз со смущенно поникшей Машиной головки.	Фомушка измышляет Как ни счастливо разыгралось для Фомушки следствие по поводу Машиной жалобы, он все-таки пришел к заключению, что не мешало бы снова поднять на недосягаемую высоту авторитет своей святости в глазах хозяев.	training.scd.10	(145, 152)	(79, 86)	EARLIER	0.99997427	T
