id	tag	score
training.scd.0	F	1.6
training.scd.1	F	2.2
training.scd.2	T	3.2
training.scd.3	F	2.0
training.scd.4	F	1.4
training.scd.5	F	1.4
training.scd.6	F	1.6
training.scd.7	F	1.6
training.scd.8	F	1.6
training.scd.9	F	1.0
training.scd.10	T	4.0
training.scd.11	F	2.4
training.scd.12	T	3.2
training.scd.13	F	1.4
training.scd.14	F	1.2
training.scd.15	F	2.0
training.scd.16	F	1.4
training.scd.17	F	2.6
training.scd.18	F	2.4
training.scd.19	T	3.0
training.scd.20	F	2.6
training.scd.21	F	2.6
training.scd.22	T	4.0
training.scd.23	F	1.6
training.scd.24	F	2.4
training.scd.25	T	3.4
training.scd.26	T	4.0
training.scd.27	F	2.2
training.scd.28	F	1.8
training.scd.29	F	1.0
training.scd.30	F	1.6
training.scd.31	F	1.6
training.scd.32	T	4.0
training.scd.33	F	1.0
training.scd.34	F	1.0
training.scd.35	T	3.2
training.scd.36	F	1.6
training.scd.37	T	3.8
training.scd.38	F	1.2
training.scd.39	F	2.8
training.scd.40	F	1.8
training.scd.41	T	3.4
training.scd.42	T	3.0
training.scd.43	T	4.0
training.scd.44	T	4.0
training.scd.45	F	1.2
training.scd.46	T	4.0
training.scd.47	F	2.6
training.scd.48	T	3.0
training.scd.49	F	1.2
training.scd.50	F	2.0
training.scd.51	F	1.8
training.scd.52	F	2.2
training.scd.53	F	2.2
training.scd.54	F	2.6
training.scd.55	F	2.6
training.scd.56	F	2.6
training.scd.57	T	4.0
training.scd.58	T	3.6
training.scd.59	F	2.0
training.scd.60	F	2.0
training.scd.61	F	1.6
training.scd.62	F	1.4
training.scd.63	F	1.8
training.scd.64	T	3.0
training.scd.65	T	3.6
training.scd.66	F	1.4
training.scd.67	T	4.0
training.scd.68	T	4.0
training.scd.69	F	1.8
training.scd.70	T	4.0
training.scd.71	T	4.0
training.scd.72	T	3.8
training.scd.73	T	4.0
training.scd.74	T	4.0
training.scd.75	T	4.0
training.scd.76	T	4.0
training.scd.77	T	3.8
training.scd.78	T	4.0
training.scd.79	T	4.0
training.scd.80	T	4.0
training.scd.81	T	4.0
training.scd.82	T	4.0
training.scd.83	T	4.0
training.scd.84	T	3.8
training.scd.85	T	4.0
training.scd.86	T	4.0
training.scd.87	T	4.0
training.scd.88	T	3.8
training.scd.89	T	3.0
training.scd.90	T	3.8
training.scd.91	T	3.8
training.scd.92	T	3.8
training.scd.93	T	3.6
training.scd.94	T	3.8
training.scd.95	T	3.8
training.scd.96	T	4.0
training.scd.97	T	4.0
training.scd.98	T	3.8
training.scd.99	T	4.0
training.scd.100	T	4.0
training.scd.101	T	4.0
training.scd.102	T	4.0
training.scd.103	T	4.0
training.scd.104	T	4.0
training.scd.105	T	4.0
training.scd.106	T	4.0
training.scd.107	T	4.0
training.scd.108	T	4.0
training.scd.109	T	3.6
training.scd.110	T	3.6
training.scd.111	T	3.8
training.scd.112	T	3.6
training.scd.113	T	3.6
training.scd.114	T	3.8
training.scd.115	T	4.0
training.scd.116	T	4.0
training.scd.117	T	3.8
training.scd.118	T	3.6
training.scd.119	T	4.0
training.scd.120	T	4.0
training.scd.121	T	4.0
training.scd.122	T	4.0
training.scd.123	T	4.0
training.scd.124	T	4.0
training.scd.125	T	4.0
training.scd.126	T	4.0
training.scd.127	T	3.4
training.scd.128	T	3.8
training.scd.129	T	4.0
training.scd.130	T	4.0
training.scd.131	F	1.4
training.scd.132	T	4.0
training.scd.133	T	3.6
training.scd.134	T	4.0
training.scd.135	T	4.0
training.scd.136	T	3.8
training.scd.137	T	4.0
training.scd.138	T	4.0
training.scd.139	T	3.8
training.scd.140	T	3.8
training.scd.141	T	3.6
training.scd.142	T	3.0
training.scd.143	F	1.6
training.scd.144	T	3.6
training.scd.145	T	3.8
training.scd.146	T	4.0
training.scd.147	T	3.4
training.scd.148	T	4.0
training.scd.149	T	4.0
training.scd.150	T	4.0
training.scd.151	T	4.0
training.scd.152	T	4.0
training.scd.153	T	4.0
training.scd.154	T	4.0
training.scd.155	T	4.0
training.scd.156	T	4.0
training.scd.157	F	2.2
training.scd.158	T	4.0
training.scd.159	T	4.0
training.scd.160	T	3.8
training.scd.161	T	3.8
training.scd.162	T	4.0
training.scd.163	T	4.0
training.scd.164	T	4.0
training.scd.165	T	3.6
training.scd.166	T	4.0
training.scd.167	T	4.0
training.scd.168	T	4.0
training.scd.169	T	3.6
training.scd.170	T	3.2
training.scd.171	T	4.0
training.scd.172	T	4.0
training.scd.173	T	4.0
training.scd.174	T	4.0
training.scd.175	T	3.4
training.scd.176	T	4.0
training.scd.177	T	4.0
training.scd.178	T	4.0
training.scd.179	T	4.0
training.scd.180	T	4.0
training.scd.181	T	3.8
training.scd.182	T	4.0
training.scd.183	T	3.6
training.scd.184	F	2.4
training.scd.185	T	4.0
training.scd.186	T	4.0
training.scd.187	T	4.0
training.scd.188	T	3.2
training.scd.189	T	4.0
training.scd.190	F	2.4
training.scd.191	T	4.0
training.scd.192	T	3.8
training.scd.193	T	4.0
training.scd.194	T	3.6
training.scd.195	T	3.8
training.scd.196	T	4.0
training.scd.197	T	4.0
training.scd.198	T	4.0
training.scd.199	T	4.0
training.scd.200	T	4.0
training.scd.201	F	1.0
training.scd.202	T	4.0
training.scd.203	T	3.8
training.scd.204	F	1.6
training.scd.205	F	1.6
training.scd.206	F	1.4
training.scd.207	F	1.0
training.scd.208	T	3.4
training.scd.209	F	1.2
training.scd.210	T	3.8
training.scd.211	F	1.0
training.scd.212	F	1.0
training.scd.213	F	1.0
training.scd.214	F	1.0
training.scd.215	F	1.0
training.scd.216	T	3.6
training.scd.217	F	1.0
training.scd.218	F	1.0
training.scd.219	T	3.2
training.scd.220	T	4.0
training.scd.221	T	3.2
training.scd.222	F	1.0
training.scd.223	F	2.8
training.scd.224	F	2.8
training.scd.225	T	3.4
training.scd.226	F	1.8
training.scd.227	T	3.6
training.scd.228	T	3.6
training.scd.229	F	1.2
training.scd.230	T	3.8
training.scd.231	T	3.2
training.scd.232	F	1.0
training.scd.233	T	4.0
training.scd.234	T	3.6
training.scd.235	T	3.2
training.scd.236	F	1.0
training.scd.237	F	2.0
training.scd.238	T	4.0
training.scd.239	F	1.0
training.scd.240	T	3.4
training.scd.241	T	4.0
training.scd.242	T	3.4
training.scd.243	T	3.4
training.scd.244	F	1.2
training.scd.245	T	3.8
training.scd.246	F	2.8
training.scd.247	F	2.8
training.scd.248	F	2.8
training.scd.249	T	4.0
training.scd.250	F	1.2
training.scd.251	F	2.6
training.scd.252	T	3.0
training.scd.253	T	3.0
training.scd.254	T	3.2
training.scd.255	F	2.0
training.scd.256	F	1.0
training.scd.257	F	1.2
training.scd.258	F	1.6
training.scd.259	F	2.6
training.scd.260	F	2.0
training.scd.261	T	4.0
training.scd.262	F	1.2
training.scd.263	T	3.6
training.scd.264	T	3.0
training.scd.265	T	3.2
training.scd.266	F	1.4
training.scd.267	F	1.4
training.scd.268	F	1.4
training.scd.269	T	3.6
training.scd.270	T	3.6
training.scd.271	T	3.6
training.scd.272	F	1.4
training.scd.273	T	3.8
training.scd.274	F	2.0
training.scd.275	F	2.6
training.scd.276	F	1.4
training.scd.277	F	1.4
training.scd.278	F	1.4
training.scd.279	F	2.6
training.scd.280	F	1.6
training.scd.281	F	2.6
training.scd.282	T	3.6
training.scd.283	F	1.8
training.scd.284	F	2.2
training.scd.285	T	3.8
training.scd.286	F	2.2
training.scd.287	F	2.6
training.scd.288	F	2.6
training.scd.289	F	2.0
training.scd.290	F	2.0
training.scd.291	T	3.6
training.scd.292	T	3.6
training.scd.293	F	1.6
training.scd.294	F	2.0
training.scd.295	F	2.0
training.scd.296	T	3.6
training.scd.297	T	3.0
training.scd.298	T	3.0
training.scd.299	T	3.0
training.scd.300	F	1.6
training.scd.301	F	1.6
training.scd.302	F	2.2
training.scd.303	F	1.0
training.scd.304	F	2.4
training.scd.305	F	2.0
training.scd.306	T	3.2
training.scd.307	F	1.8
training.scd.308	F	1.8
training.scd.309	F	2.0
training.scd.310	F	2.0
training.scd.311	F	2.2
training.scd.312	F	2.2
training.scd.313	T	3.6
training.scd.314	F	2.4
training.scd.315	F	2.6
training.scd.316	T	3.2
training.scd.317	F	1.0
training.scd.318	F	1.0
training.scd.319	T	3.4
training.scd.320	F	2.8
training.scd.321	F	2.8
training.scd.322	F	1.4
training.scd.323	T	3.6
training.scd.324	T	3.2
training.scd.325	F	2.6
training.scd.326	F	2.0
training.scd.327	T	3.6
training.scd.328	F	2.8
training.scd.329	T	3.8
training.scd.330	T	3.8
training.scd.331	F	2.4
training.scd.332	F	2.4
training.scd.333	T	3.4
training.scd.334	F	2.4
training.scd.335	T	3.0
training.scd.336	T	3.2
training.scd.337	F	1.0
training.scd.338	F	1.2
training.scd.339	F	2.4
training.scd.340	F	2.4
training.scd.341	F	1.8
training.scd.342	F	1.6
training.scd.343	F	1.0
training.scd.344	F	1.6
training.scd.345	T	3.8
training.scd.346	F	2.4
training.scd.347	F	2.6
training.scd.348	F	1.0
training.scd.349	F	2.4
training.scd.350	F	2.4
training.scd.351	T	3.8
training.scd.352	T	3.4
training.scd.353	F	2.0
training.scd.354	F	2.6
training.scd.355	T	4.0
training.scd.356	F	1.8
training.scd.357	T	4.0
training.scd.358	T	3.6
training.scd.359	F	1.6
training.scd.360	F	1.0
training.scd.361	F	2.8
training.scd.362	F	2.8
training.scd.363	F	1.0
training.scd.364	T	3.8
training.scd.365	F	1.0
training.scd.366	F	2.4
training.scd.367	F	1.0
training.scd.368	F	1.6
training.scd.369	F	1.0
training.scd.370	F	1.2
training.scd.371	F	1.0
training.scd.372	T	3.8
training.scd.373	T	3.8
training.scd.374	F	2.2
training.scd.375	T	3.6
training.scd.376	F	2.6
training.scd.377	F	1.2
training.scd.378	F	2.6
training.scd.379	F	1.2
training.scd.380	T	3.8
training.scd.381	T	3.4
training.scd.382	F	2.8
training.scd.383	F	1.0
training.scd.384	T	3.6
training.scd.385	F	1.2
training.scd.386	T	4.0
training.scd.387	T	3.8
training.scd.388	F	1.8
training.scd.389	F	2.8
training.scd.390	T	3.8
training.scd.391	F	1.2
training.scd.392	T	3.2
training.scd.393	T	3.0
training.scd.394	T	4.0
training.scd.395	T	3.4
training.scd.396	F	2.0
training.scd.397	T	3.6
training.scd.398	F	2.6
training.scd.399	T	3.4
training.scd.400	T	4.0
training.scd.401	T	4.0
training.scd.402	T	3.0
training.scd.403	T	3.2
training.scd.404	T	3.2
training.scd.405	T	4.0
training.scd.406	T	3.2
training.scd.407	T	4.0
training.scd.408	F	1.8
training.scd.409	T	3.8
training.scd.410	F	2.8
training.scd.411	T	3.2
training.scd.412	T	3.6
training.scd.413	T	3.2
training.scd.414	T	3.8
training.scd.415	T	4.0
training.scd.416	T	3.4
training.scd.417	T	4.0
training.scd.418	T	4.0
training.scd.419	T	3.4
training.scd.420	T	4.0
training.scd.421	F	2.6
training.scd.422	T	4.0
training.scd.423	T	3.8
training.scd.424	F	2.2
training.scd.425	F	2.4
training.scd.426	T	3.2
training.scd.427	T	4.0
training.scd.428	T	4.0
training.scd.429	T	3.4
training.scd.430	T	3.0
training.scd.431	T	3.8
training.scd.432	T	3.0
training.scd.433	T	3.6
training.scd.434	T	3.8
training.scd.435	T	3.0
training.scd.436	T	3.8
training.scd.437	T	3.8
training.scd.438	T	3.8
training.scd.439	T	4.0
training.scd.440	F	2.4
training.scd.441	T	3.6
training.scd.442	T	4.0
training.scd.443	T	4.0
training.scd.444	T	3.0
training.scd.445	T	3.4
training.scd.446	F	2.0
training.scd.447	T	3.8
training.scd.448	T	3.0
training.scd.449	T	4.0
training.scd.450	T	3.0
training.scd.451	F	2.4
training.scd.452	F	1.8
training.scd.453	T	3.4
training.scd.454	T	3.8
training.scd.455	T	3.6
training.scd.456	T	3.4
training.scd.457	T	3.4
training.scd.458	T	3.4
training.scd.459	T	3.8
training.scd.460	T	4.0
training.scd.461	F	2.8
training.scd.462	F	2.8
training.scd.463	T	4.0
training.scd.464	T	3.4
training.scd.465	T	3.6
training.scd.466	T	4.0
training.scd.467	F	2.8
training.scd.468	T	3.6
training.scd.469	F	2.6
training.scd.470	T	3.2
training.scd.471	T	3.2
training.scd.472	T	3.6
training.scd.473	T	3.6
training.scd.474	T	3.0
training.scd.475	T	4.0
training.scd.476	T	3.2
training.scd.477	T	3.0
training.scd.478	T	3.6
training.scd.479	T	3.6
training.scd.480	F	2.8
training.scd.481	T	3.6
training.scd.482	F	2.8
training.scd.483	T	3.4
training.scd.484	F	2.8
