word	sent1	sent2	id	pos1	pos2	grp	scores	tag
машина	Административная машина прогнила сверху до низу; требуется коренная реорганизация всего личного служебного персонала всех ведомств.	Лена, скромно слушавшая дедушку, вставила: -- И знаешь, Вася, на таких машинах водителями работают наши ученики-старшеклассники.	train.scd_1_1.tsv.0	(17, 23)	(71, 78)	COMPARE	1.07231622e-05	F
машина	Сколько подруг-немок имела я на веку своем, которые зарабатывали себе приданое, как половые машины какие-нибудь, до положенного срока и назначенной суммы.	С дивной быстротой примчались три глухих машины с вооруженными оперативниками.	train.scd_1_1.tsv.1	(92, 98)	(41, 47)	COMPARE	3.04985545e-05	F
машина	Это потому, что над землей и в земле стучали без отдыха машины, вертелись чугунные колеса, бежали канаты.	Вышел на минутку из кабинета начальника, сказал про машину и обратно ушел.	train.scd_1_1.tsv.2	(56, 62)	(52, 58)	COMPARE	0.99984288	T
машина	"Долой голую, нищую землю -- поэзию машин, гигантских сооружений и бешеную победу пространства, ""всеприсутственность"" воспеваем мы."	"Тогда казалось: еще немного усилий -- и раскроются тайны управляемого термоядерного синтеза, появятся машины-переводчики с языка на язык, ""думающие"" ЭВМ."	train.scd_1_1.tsv.3	(35, 40)	(102, 108)	COMPARE	0.0057611307	F
машина	Свже ручейки, безпрестанно поддерживаемые сакисами, живописными машинами, подымающими воду иногда до самыхъ террасъ, увеличиваютъ и еще обогащаютъ эту растительность.	-- Если сверх, -- сказал Сапожников, -- значит, могли до машины времени додуматься.	train.scd_1_1.tsv.4	(64, 72)	(57, 63)	COMPARE	7.2218155e-06	F
машина	На другую, может, прежде народу требовалось тысячи две, а теперь одна эта самая машина только и действует.	Как я потом узнал, 25 июля 1972 года лист за листом ротационные машины печатали девятый том Энциклопедии.	train.scd_1_1.tsv.5	(80, 86)	(64, 70)	COMPARE	0.9997973	T
машина	В деревне Шнитки, Боновской волости, обнаружен огромных размеров тайный винокуренный завод, вполне оборудованный, с паровой машиной и всевозможными приспособлениями.	Хлеба не набирают роста, возможна уборка прямым комбайнированием, без предварительного скашивания -- надежность машин должна быть отменной.	train.scd_1_1.tsv.6	(124, 131)	(112, 117)	COMPARE	0.99999715	T
машина	Направо виднелась большая золотопромывательная машина, для неопытного глаза представлявшая какую-то городьбу из деревянных балок, желобов и колес.	Тогда экипаж, возглавляемый командиром корабля И. Давыдовым, поднял на высоту 6600 м гигантскую машину с максимальным t-рузом 88103 кг.	train.scd_1_1.tsv.7	(47, 53)	(96, 102)	COMPARE	0.99999905	T
машина	А причина та, что я в ожидании из Петербурга ответа заказал было уже делать такия инструменты и машины, которыя для отделки требовали больше времени.	Бойцы выносили из машины увесистые ящики и исчезали в подъезде.	train.scd_1_1.tsv.8	(96, 102)	(18, 24)	COMPARE	0.99978267	T
машина	Но он, как не специалист, не сообразил, конечно, того, что с богатых забоев песков, составляющих вязкую глину, возьмут только пятую или десятую часть того, что доставят на машину с бедных разрушистых забоев.	На охоту идти -- собак кормить, -- донесся от машины ворчливый голос шофера.	train.scd_1_1.tsv.9	(172, 178)	(46, 52)	COMPARE	0.999992365	T
машина	Однако можно бы было двумя машинами, из которых бы одна против другой стояла, и когда бы из одной стреляли, тогда бы другую заряжали, при переправке неприятельской узкою дорогою добрую защиту учинить.	Третьей стала проверенная машина с лыжно-колесным движителем и двухколесным алюминиевым прицепом, изготовленная в ВИЛСе.	train.scd_1_1.tsv.10	(27, 35)	(26, 32)	COMPARE	0.9999974	T
машина	"И что они думают Экзаменовать, что ли, я их хочу"" -- У вас на фабрике паровая машина -- Никак нет: конным приводом работают."	Но на следующий же день, едва мы вернулись после прогулки по Стокгольму, Ляля нам сказала, что звонили из Таллина, машина сшибла Леву и Сару*, они в больнице.	train.scd_1_1.tsv.11	(78, 84)	(115, 121)	COMPARE	1.19269045e-05	F
машина	Чем ближе подходили мы к фабрике, тем слышнее и явственнее становился глухой шум, производимый машинами, и тем резче выступали ярко освещенные окна.	Американочки забираются в эти машины и сидят там целыми часами, не в силах выйти.	train.scd_1_1.tsv.12	(95, 103)	(30, 36)	COMPARE	0.9999943	T
машина	Я твоего согласия и спрашивать не стану, без тебя мельницу Глоткину сдам, возьму тебе билет на машину, ребят прихватим и гайда!	Я остановился впереди них, вышел из машины и поклонился издали.	train.scd_1_1.tsv.13	(95, 101)	(36, 42)	COMPARE	0.9999869299999999	T
машина	Проезжая Дельфт в воскресенье, не могу ничего сказать об артиллерийском и инженерном училищах, кроме того, что виденный нами физический кабинет богат машинами и моделями.	Мы ведь чуть не каждый день пускаем в ход какую-нибудь машину или закладываем новое здание.	train.scd_1_1.tsv.14	(150, 158)	(55, 61)	COMPARE	0.999994525	T
машина	Привезли эту машину, поставили на току в сарае и стали молотить лошадьми, а бабы солому отгребали.	Наконец, в каком-то пасмурном, но великолепном помещении, отведенном истории паровых машин, мне удалось остановить на мгновение моего беспечного вожака.	train.scd_1_1.tsv.15	(13, 19)	(85, 90)	COMPARE	0.0028701908999999998	F
машина	Вы ждете ужасного лязга и грохота машин, а между тем видите, что машины разрезывают металлические массы в пять сажень длиною так же беззвучно, как будто они резали кусок сыра.	"В 1958 году машину взяла на эксплуатацию авиакомпания ""Пан америкен уорлд эруэйз""."	train.scd_1_1.tsv.16	(65, 71)	(12, 18)	COMPARE	0.9999938500000001	T
машина	Я допускаю, что базарные инстинкты взяли верх над духовными, и уже давно заповедь о посвящении субботы богу (хотя бы со всенощного бдения) отменена другой, гласящей, что суббота -- время чистки машин на фабриках.	"Стекла у машин -- зеленоватые, как говорили арбатские мальчишки, ""бронебойные"", и все машины ""бронированные"" -- безопасные."	train.scd_1_1.tsv.17	(194, 199)	(9, 14)	COMPARE	0.9999986	T
машина	-- Его заподозрил инспектор в воровстве машины, которую, как оказалось потом, сын же инспектора и украл...	Мальчик положил конфеты в карман и собрался было бежать за машиной, чтобы проводить автолавку на дорогу.	train.scd_1_1.tsv.18	(40, 46)	(59, 66)	COMPARE	0.9999925999999999	T
машина	Кроме того, я попрошу вас ознакомиться и с машиной корвета и знать ее, чтоб потом, когда вам придется быть капитанами, не быть в руках механиков.	3) Запретить использовать танки одиночными машинами или разрозненными группами.	train.scd_1_1.tsv.19	(43, 50)	(43, 51)	COMPARE	0.0014429450224999999	F
машина	Двое рабочих всовывали в эту пасть конец накаленного длинного прута, и машина, равномерно отгрызая по куску металла, выплевывала их на землю в виде совершенно готовых гаек.	Спрятаться же там за ящиками электронно-вычислительных машин было просто.	train.scd_1_1.tsv.20	(71, 77)	(55, 60)	COMPARE	0.49943453225	F
машина	Всякое новое усовершенствование в машине сокращает механика в его деятельности, разучивает его.	Расходилась только одна цифра -- уничтоженных немецких машин, очевидно, из-за какой-то описки, перенесенная из доклада в приказ в сильно преувеличенном виде.	train.scd_1_1.tsv.21	(34, 40)	(55, 60)	COMPARE	0.999998375	T
машина	Как страстно хотелось тишины и покоя, а между тем надо было идти в каюту и опять слышать все тот же немолчный стук машины плеск волн, разрезаемых пароходом, и тяжкий говор океана.	Выходя из дому, я увидел две здоровые машины с вашингтонскими номерами.	train.scd_1_1.tsv.22	(115, 121)	(38, 44)	COMPARE	0.9999966499999999	T
машина	Колеса, рычаги, пружины, винты, трубы, стержни, дуги, поршни и другие части машин -- медные, стальные, железные, стеклянные -- как члены чудовищ или громадных насекомых, торчали из мрака, переплетаясь и путаясь.	Прежде всего Электроник показал им зал с самыми современными системами -- машинами Интермаша.	train.scd_1_1.tsv.23	(76, 81)	(74, 82)	COMPARE	0.50086897015	F
машина	Сия машина не что иное есть, как только коромысло, два ровныя концы имеющее, которое около своей оси по середке очень легко поворачивается, и от средины до обоих концов на равные части разделенное с приписанными при том числами.	Только куцые овечьи хвосты задрожали, затрепыхались, когда машина проехала вплотную.	train.scd_1_1.tsv.24	(4, 10)	(59, 65)	COMPARE	0.999980015	T
машина	Если машинами облегчать всегдашний его труд, то с этим необходимо указывать, каким образом он может употребить освобождаемое время на другие занятия и от них получить пользу.	Это ведь ваша территория Пока купались, из машины украли сумку, вот женину.	train.scd_1_1.tsv.25	(5, 13)	(43, 49)	COMPARE	0.0017448800350000002	F
машина	Каждая машина стоит столько-то и должна давать такой-то процент выгодной работы, а раз этого нет -- я выкидываю ее за борт.	Она все тяжелее опиралась на палку, до машины доковыляла уже с трудом, и на лице ее непритворно выразились усталость и мука.	train.scd_1_1.tsv.26	(7, 13)	(39, 45)	COMPARE	0.9999889799999999	T
